,title,genre,rating,rating_count,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,The White Feather,School Stories,3.96,125,0.10209999978542328,0.1615999937057495,0.05220000073313713,0.11500000208616257,0.1581999957561493,0.10760000348091125,0.0746999979019165,0.22849999368190765
1,463,Historical Fiction,4.67,39,0.13930000364780426,0.13330000638961792,0.05979999899864197,0.1673000007867813,0.13950000703334808,0.12449999898672104,0.08269999921321869,0.1535000056028366
2,The Young Buglers,Children's Fiction,4.12,91,0.11819999665021896,0.133200004696846,0.047600001096725464,0.16019999980926514,0.1446000039577484,0.12129999697208405,0.07649999856948853,0.19840000569820404
3,The Children's Pilgrimage,Children's Fiction,4.23,13,0.059300001710653305,0.15449999272823334,0.05220000073313713,0.09870000183582306,0.24210000038146973,0.1316000074148178,0.05339999869465828,0.20810000598430634
4,A Houseful of Girls,Children's Fiction,3.33,12,0.06870000064373016,0.14259999990463257,0.04670000076293945,0.10719999670982361,0.20479999482631683,0.12349999696016312,0.05570000037550926,0.2508000135421753
5,Orange and Green;  A Tale of the Boyne and Limerick,Children's Fiction,3.59,160,0.12200000137090683,0.1340000033378601,0.052400000393390656,0.1624000072479248,0.1404000073671341,0.1168999969959259,0.052400000393390656,0.21940000355243683
6,The Queen's Cup,Children's Fiction,3.64,75,0.0877000018954277,0.1704999953508377,0.03830000013113022,0.1234000027179718,0.16290000081062317,0.1111999973654747,0.06689999997615814,0.23919999599456787
7,Gladiator,Science Fiction,4.2,1,0.10040000081062317,0.12770000100135803,0.06369999796152115,0.14730000495910645,0.17820000648498535,0.12399999797344208,0.06469999998807907,0.1940000057220459
8,Doomsday Eve,Science Fiction,3.45,11,0.11410000175237656,0.10480000078678131,0.05090000107884407,0.17890000343322754,0.17350000143051147,0.12540000677108765,0.07329999655485153,0.17910000681877136
9,The Secret of the Ninth Planet,Science Fiction,3.15,150,0.10010000318288803,0.16539999842643738,0.042399998754262924,0.14749999344348907,0.12690000236034393,0.1185000017285347,0.09139999747276306,0.2078000009059906
10,One Against the Moon,Science Fiction,3.38,13,0.10010000318288803,0.1445000022649765,0.04520000144839287,0.1582999974489212,0.14219999313354492,0.133200004696846,0.09870000183582306,0.17810000479221344
11,The Sleeper Awakes,Science Fiction,3.42,1,0.10029999911785126,0.13279999792575836,0.04879999905824661,0.15049999952316284,0.1527000069618225,0.14100000262260437,0.09440000355243683,0.17949999868869781
12,The Door in the Wall and Other Stories,Science Fiction,3.83,536,0.0877000018954277,0.13169999420642853,0.052799999713897705,0.13590000569820404,0.2029999941587448,0.1324000060558319,0.07880000025033951,0.17759999632835388
13,The Stolen Bacillus and Other Incidents,Science Fiction,3.6,285,0.08529999852180481,0.13619999587535858,0.05660000070929527,0.11860000342130661,0.1875,0.11640000343322754,0.07609999924898148,0.22339999675750732
14,Address: Centauri,Science Fiction,3.43,14,0.07349999994039536,0.1768999993801117,0.050999999046325684,0.1421000063419342,0.13539999723434448,0.12880000472068787,0.06790000200271606,0.22439999878406525
15,Naar het middelpunt der Aarde,Science Fiction,3.86,1,0.018799999728798866,0.025800000876188278,0.0071000000461936,0.42170000076293945,0.013899999670684338,0.4027000069618225,0.002899999963119626,0.1071000024676323
16,Het Geheimzinnige Eiland,Science Fiction,4.05,22,0.009999999776482582,0.05079999938607216,0.009100000374019146,0.34940001368522644,0.025800000876188278,0.34130001068115234,0.0478999987244606,0.16590000689029694
17,Voyage au Centre de la Terre,Science Fiction,3.86,1,0.10509999841451645,0.0851999968290329,0.0632999986410141,0.12370000034570694,0.0763000026345253,0.09610000252723694,0.09969999641180038,0.350600004196167
18,Twenty Thousand Leagues under the Sea,Science Fiction,3.89,1,0.09560000151395798,0.1362999975681305,0.04780000075697899,0.16189999878406525,0.15139999985694885,0.12780000269412994,0.07400000095367432,0.2053000032901764
